Zone,Population,Sous_alimentation,Production_cereales,Disponibilite_kcal
Suriname,0.539,0.05,175,2374.0
Tadjikistan,8.208,,1302,1929.0
Tchad,12.825,5.6,2451,1991.0
Tchéquie (la),10.702,,7518,2418.0
Thaïlande,67.011,5.4,29525,2434.0
Timor-Leste,1.133,0.3,159,1884.0
Togo,6.817,1.3,1110,2355.0
Trinité-et-Tobago,1.341,0.05,6,2414.0
Tunisie,10.997,0.5,1328,2971.0
Turkménistan,5.24,0.3,1458,2152.0
Turquie,74.933,,37225,3141.0
Ukraine,45.239,1.5,62638,2450.0
Uruguay,3.407,,3594,2185.0
Vanuatu,0.253,0.05,1,2390.0
Venezuela (République bolivarienne du),30.405,6.8,3029,2157.0
Viet Nam,91.68,8.8,34567,2169.0
Yémen,24.407,11.0,863,2028.0
Zambie,14.539,8.0,2886,1818.0
Zimbabwe,14.15,8.5,1011,1935.0
